iter	Passed	Remaining
0	0	58
1	1	55
2	2	73
3	2	64
4	3	58
5	3	60
6	4	58
7	4	57
8	6	64
9	6	61
10	7	59
11	7	57
12	8	56
13	8	54
14	9	54
15	10	53
16	10	53
17	11	53
18	12	53
19	13	54
20	14	53
21	15	53
22	16	53
23	16	52
24	17	51
25	17	50
26	18	48
27	18	47
28	19	47
29	19	45
30	20	44
31	20	44
32	21	43
33	22	43
34	23	43
35	24	42
36	24	41
37	25	41
38	26	40
39	26	39
40	28	40
41	28	39
42	29	38
43	30	38
44	31	38
45	32	38
46	33	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	36	32
53	37	31
54	37	30
55	38	29
56	38	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	26
62	43	25
63	44	24
64	44	23
65	45	23
66	45	22
67	46	21
68	47	21
69	47	20
70	48	19
71	48	18
72	49	18
73	51	17
74	51	17
75	52	16
76	52	15
77	53	15
78	53	14
79	54	13
80	54	12
81	55	12
82	56	11
83	56	10
84	57	10
85	57	9
86	58	8
87	60	8
88	60	7
89	61	6
90	62	6
91	62	5
92	63	4
93	63	4
94	64	3
95	64	2
96	65	2
97	65	1
98	66	0
99	67	0
